Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Clay,6.17,2.39,114.64,40.74,57.6,1.36,2.08,17.93,61.71,3.74,4.32,High,Late,NPK,68.17,Drip,Biochar,Sprinkler,42.81,20.94,30.72,10.47,6.28,4.19
Corn,Loamy,8.02,0.75,161.57,48.65,210.31,1.45,112.67,29.42,67.5,1.98,7.64,Medium,Mid,NPK,194.3,Foliar,Normal,Sprinkler,68.38,75.8,39.01,37.9,22.74,15.16
Vegetable,Clay,6.93,0.58,100.88,11.74,128.84,1.16,36.75,23.99,91.89,3.28,7.68,Low,Initial,PK,110.14,Foliar,Biochar,Drip,20.91,40.2,36.5,20.1,12.06,8.04
Wheat,Loamy,8.04,0.71,227.56,48.32,83.84,1.45,92.18,33.96,69.89,5.16,3.9,Medium,Mid,PK,176.37,Foliar,Biochar,Sprinkler,71.59,62.31,35.33,31.16,18.69,12.46
Citrus,Clay,6.92,1.7,277.2,37.95,168.73,1.39,70.72,35.59,72.73,2.99,5.6,Medium,Late,Organic,107.58,Foliar,Controlled_Release,Sprinkler,34.51,44.8,41.64,22.4,13.44,8.96
Wheat,Clay,7.17,1.61,50.65,43.49,187.17,1.26,83.31,37.44,74.82,4.93,3.8,Low,Mid,Urea,155.05,Drip,Controlled_Release,Flood,67.59,55.66,35.9,27.83,16.7,11.13
Citrus,Clay,8.49,1.84,189.06,31.23,393.58,1.52,98.14,15.22,90.68,1.45,4.34,High,Mid,PK,96.22,Broadcast,Normal,Flood,58.67,48.01,49.9,24,14.4,9.6
Vegetable,Sandy,8.35,1.24,233.08,44.45,209.34,1.33,59.11,35.35,61.69,1.28,6.42,High,Initial,Urea,90.64,Broadcast,Controlled_Release,Sprinkler,25.69,39.57,43.66,19.78,11.87,7.91
Rice,Clay,6.32,1.28,276.8,71.73,388.65,1.3,4.09,30.55,90.32,0.59,2.54,Low,Initial,Urea,98.04,Foliar,Biochar,Flood,39.69,26.45,26.98,13.22,7.94,5.29
Citrus,Loamy,8.11,1.59,139.61,65.15,306.34,1.19,115.59,23.03,71.97,0.71,7.52,High,Mid,NPK,184.89,Broadcast,Biochar,Flood,21.46,70.61,38.19,35.3,21.18,14.12
Wheat,Loamy,6.67,0.66,276.79,53.12,138.58,1.23,96.35,23.37,43.07,1.79,2.14,Low,Mid,Organic,181.8,Drip,Controlled_Release,Drip,64.28,66.68,36.68,33.34,20,13.34
Vegetable,Sandy,5.71,2.1,256.39,53.86,295.69,1.24,77.08,29.06,62.19,5.64,5.09,Medium,Mid,Urea,115.64,Foliar,Normal,Drip,71.04,47.39,40.98,23.7,14.22,9.48
Citrus,Sandy,7.23,2.35,181.3,72.68,190.93,1.3,106.64,15.12,44.79,5.93,6.65,Low,Initial,PK,140.38,Drip,Controlled_Release,Sprinkler,21.28,48.99,34.9,24.5,14.7,9.8
Rice,Loamy,8.43,1.27,114.24,43.58,252.75,1.35,110.86,23.3,51.55,0.88,3.55,High,Mid,NPK,181.27,Drip,Normal,Flood,58,73.67,40.64,36.84,22.1,14.73
Rice,Clay,8.42,1.98,213.2,47.75,231.74,1.6,105.27,37.46,59.9,4.01,6.31,Low,Initial,NPK,69.66,Drip,Normal,Drip,65.13,42.78,61.41,21.39,12.83,8.56
Corn,Loamy,5.88,1.6,115.14,70.21,376.14,1.37,17.09,31.25,92.89,2.92,2.65,High,Initial,Urea,66.59,Foliar,Controlled_Release,Flood,36.6,24.56,36.88,12.28,7.37,4.91
Corn,Sandy,7.81,0.97,137.21,62.83,95.4,1.33,87.46,18.9,72.32,4.52,6.53,High,Late,NPK,155.51,Foliar,Controlled_Release,Sprinkler,68.3,59.85,38.49,29.92,17.95,11.97
Wheat,Sandy,7.91,0.64,166.75,40.31,205.38,1.42,38.28,35.82,94.08,0.53,3.82,High,Initial,NK,151.84,Foliar,Controlled_Release,Drip,15.04,51.19,33.71,25.6,15.36,10.24
Citrus,Loamy,6.61,0.99,174.49,31.37,78.41,1.48,5.08,33.21,56.87,5.84,7.01,Low,Mid,NPK,143.1,Broadcast,Controlled_Release,Flood,58.58,38.07,26.6,19.04,11.42,7.61
Citrus,Clay,7.48,1.71,97.29,46.25,139.16,1.59,33.46,16.62,76.77,3.58,5.79,High,Initial,NPK,78.82,Broadcast,Biochar,Drip,56.51,24.78,31.44,12.39,7.43,4.96
Corn,Clay,6.96,0.58,223.45,18.44,76.89,1.6,78.56,39.11,70.11,5.83,2.44,High,Late,PK,130.6,Broadcast,Biochar,Drip,38.28,61.15,46.82,30.58,18.34,12.23
Citrus,Sandy,6.18,2.17,297.98,57.63,378.54,1.53,109.54,35.57,61.5,5.19,4.02,Low,Mid,Urea,191.19,Drip,Normal,Flood,12.83,66.88,34.98,33.44,20.06,13.38
Citrus,Loamy,7.78,2.44,110.97,42.51,160.21,1.12,82.89,18.57,89.95,1.53,5.18,Low,Late,NK,106.2,Drip,Controlled_Release,Sprinkler,13.51,39.19,36.9,19.6,11.76,7.84
Rice,Loamy,6.29,0.67,188.63,51.65,323.45,1.12,69.8,36.81,65.86,3.74,5.65,Medium,Initial,Organic,129.52,Broadcast,Normal,Flood,28.37,52.24,40.33,26.12,15.67,10.45
Corn,Sandy,6.52,0.99,163.68,69.23,311.99,1.26,40.04,38.14,61.62,2.03,4.77,Medium,Mid,NK,170.86,Broadcast,Controlled_Release,Drip,77.36,52.38,30.66,26.19,15.71,10.48
Vegetable,Loamy,6.07,1.85,126.94,34.94,99.14,1.53,26.58,27.73,53.29,2.67,6.13,High,Late,Organic,152.71,Broadcast,Normal,Flood,71.95,44.57,29.19,22.28,13.37,8.91
Corn,Sandy,7.66,2.11,154.95,44.8,99.37,1.48,66.19,22.24,80.84,4.57,3.75,High,Initial,NK,160.37,Drip,Biochar,Flood,53.26,53.12,33.12,26.56,15.94,10.62
Vegetable,Clay,6.88,1.19,233.18,48.9,182.28,1.41,58.06,29.09,73.68,5.77,6.71,High,Mid,PK,127.63,Drip,Controlled_Release,Flood,17.82,49.66,38.91,24.83,14.9,9.93
Rice,Clay,6.83,1.53,153.68,29.61,249,1.2,82.22,32.31,53.32,1.43,5.73,Medium,Initial,NPK,72.78,Drip,Normal,Flood,31.58,43.56,59.85,21.78,13.07,8.71
Wheat,Loamy,7.31,2.28,176.69,29.24,199.35,1.59,64.52,21.36,85.13,2.67,3.3,High,Initial,Organic,66.8,Drip,Controlled_Release,Flood,20.91,34.88,52.22,17.44,10.46,6.98
Citrus,Clay,5.97,1.27,169.31,46.84,318.79,1.55,49.9,22.02,92.17,2.4,6.49,Medium,Initial,Organic,122.63,Foliar,Normal,Drip,70.45,43.71,35.64,21.86,13.11,8.74
Rice,Clay,8.19,0.66,188.81,28,237.58,1.56,101.68,34.25,77.9,4.11,7.48,Medium,Initial,Organic,167.58,Broadcast,Biochar,Drip,71.08,62.75,37.44,31.38,18.82,12.55
Citrus,Sandy,6.9,2.49,122.8,70.28,358.65,1.35,95.41,31.74,63.2,2.99,4.51,Medium,Initial,Urea,188.39,Foliar,Controlled_Release,Flood,30.28,61.88,32.85,30.94,18.56,12.38
Wheat,Sandy,6.6,0.86,177.43,79.64,257.34,1.28,97.62,23.85,83.54,5.02,4.56,Medium,Mid,NPK,163.14,Foliar,Normal,Drip,56.93,65.87,40.38,32.94,19.76,13.17
Wheat,Loamy,5.88,0.6,83.71,24.76,257.33,1.42,10.93,24.26,70.48,0.71,2.19,Low,Late,NPK,67.5,Broadcast,Biochar,Sprinkler,17.16,25.24,37.39,12.62,7.57,5.05
Rice,Sandy,6,1.32,235.35,50.27,280.89,1.43,17.9,33.31,41.53,5.71,3.67,Low,Late,PK,123.14,Drip,Normal,Sprinkler,64.58,39.66,32.21,19.83,11.9,7.93
Wheat,Loamy,8.26,0.74,77.73,20.18,261.05,1.56,24.05,23.62,76.01,5.96,3.21,High,Late,Organic,124.1,Broadcast,Normal,Flood,39.05,41.23,33.22,20.62,12.37,8.25
Vegetable,Loamy,6.87,2.46,246.24,22.99,264.24,1.39,109.19,22.72,81.8,5.91,5.37,High,Late,NK,93.8,Drip,Controlled_Release,Drip,24.34,44.79,47.75,22.4,13.44,8.96
Wheat,Sandy,7.67,1.26,256.39,63.62,207.4,1.54,43.41,34.17,55.91,2.16,6.1,Low,Mid,NPK,86.22,Foliar,Controlled_Release,Flood,40.8,34.63,40.16,17.32,10.39,6.93
Citrus,Clay,5.74,2.15,54.77,23.98,81.69,1.26,78.61,25.43,56.37,1.78,6.75,High,Late,Urea,154.28,Broadcast,Normal,Drip,36.31,50.92,33,25.46,15.28,10.18
Citrus,Clay,7.43,0.85,257.71,62.43,179.12,1.12,5.08,34.78,58.1,0.97,5.53,Low,Initial,Urea,196.64,Foliar,Biochar,Drip,54.3,48.19,24.51,24.1,14.46,9.64
Citrus,Clay,8.26,0.78,212.04,38.28,318.91,1.32,87.98,35.05,77.35,4.98,6.22,Low,Mid,PK,100.83,Drip,Controlled_Release,Drip,37.76,48.02,47.62,24.01,14.41,9.6
Citrus,Clay,6.4,1.8,74.23,43.56,63.3,1.2,91.57,38.87,52.28,5.44,6.95,High,Late,NK,198.13,Broadcast,Normal,Flood,44.33,68.69,34.67,34.34,20.61,13.74
Vegetable,Loamy,7.24,2.32,299.48,28.16,291.72,1.49,89.47,30.95,79.03,2.39,3.2,Medium,Initial,Organic,94.28,Drip,Normal,Flood,51.65,43.12,45.74,21.56,12.94,8.62
Corn,Clay,8.32,0.73,203.87,48.43,393.3,1.5,5.22,32.64,46.29,1.43,6.24,Medium,Mid,Organic,80.29,Drip,Controlled_Release,Sprinkler,70.86,26.39,32.87,13.2,7.92,5.28
Rice,Loamy,7.66,1.68,150.21,33.21,202.59,1.49,11.79,25.69,68.28,4.75,3.43,Medium,Late,PK,178.55,Foliar,Normal,Flood,62.72,42.58,23.85,21.29,12.77,8.52
Citrus,Sandy,5.69,0.67,271.3,22.22,124.34,1.33,89.11,30.26,81.54,2.52,2.73,Low,Late,NK,168.49,Foliar,Normal,Flood,19.63,63.26,37.55,31.63,18.98,12.65
Wheat,Sandy,6.64,2.12,60.41,19.74,58.05,1.55,75.22,20.17,76.73,4.3,2.07,High,Initial,PK,172.91,Foliar,Controlled_Release,Drip,35.34,55.17,31.91,27.58,16.55,11.03
Citrus,Loamy,5.76,2.32,229.34,79.98,349.16,1.32,43.69,31.43,74.28,2.85,4.96,High,Mid,PK,199.68,Drip,Biochar,Sprinkler,73.5,52.99,26.54,26.5,15.9,10.6
Wheat,Clay,8.08,1.76,85.93,34.19,101.59,1.4,66.52,37.75,80.29,4.42,6.58,Medium,Late,NPK,158.91,Foliar,Biochar,Flood,59.53,52.77,33.21,26.38,15.83,10.55
Wheat,Loamy,7.36,1.88,188.13,66.34,65.1,1.21,0.44,19.53,46.69,4.4,4.63,High,Initial,Organic,100.44,Broadcast,Normal,Flood,30.74,27.46,27.34,13.73,8.24,5.49
Citrus,Clay,8.37,0.61,73.99,33.9,219.9,1.11,51.74,28.23,69.12,5.16,2.06,Low,Late,Urea,162.28,Foliar,Normal,Sprinkler,15.92,54.4,33.52,27.2,16.32,10.88
Vegetable,Clay,5.56,0.65,219.79,53.61,183.61,1.4,20.04,20.75,85.3,4.25,6.76,High,Initial,Organic,198.33,Broadcast,Normal,Drip,75.82,56.29,28.38,28.14,16.89,11.26
Wheat,Loamy,6.77,0.86,166.23,68.88,385.93,1.43,115.92,17.05,64.11,5.11,6.73,High,Initial,NPK,181.28,Foliar,Controlled_Release,Drip,59.81,72.43,39.95,36.22,21.73,14.49
Wheat,Loamy,5.81,1.05,51.68,58.72,211.88,1.56,38.03,17.11,52.61,1.82,4.28,High,Late,Urea,85.41,Drip,Controlled_Release,Flood,72.92,38.91,45.56,19.45,11.67,7.78
Citrus,Clay,6.55,2.02,67.85,14.84,342.4,1.52,95.65,20.51,45.06,2.55,7.4,Medium,Mid,Urea,86.57,Drip,Normal,Flood,23.28,43.42,50.16,21.71,13.03,8.68
Wheat,Loamy,5.99,1.37,225.76,23.49,376.2,1.49,15.26,23.55,86.42,5.25,4.79,Low,Mid,PK,130.98,Foliar,Controlled_Release,Sprinkler,43,35.26,26.92,17.63,10.58,7.05
Wheat,Clay,6.49,0.66,149.86,71.15,114.49,1.45,21.61,20.5,91.65,4.49,6.06,High,Mid,Organic,138.92,Drip,Biochar,Drip,79.74,43.2,31.1,21.6,12.96,8.64
Citrus,Loamy,7.96,2.21,218.04,42.99,171.22,1.32,83.77,34.73,74.49,1.85,3.89,High,Late,NPK,190.7,Foliar,Biochar,Drip,28.64,63.45,33.27,31.72,19.04,12.69
Citrus,Sandy,5.98,2.49,147.46,51.89,373.15,1.34,92.76,16.83,40.42,2.08,4.06,Medium,Mid,NK,126.7,Broadcast,Normal,Sprinkler,72.78,48.73,38.46,24.36,14.62,9.75
Rice,Clay,6.92,1.41,140.42,11.71,244.55,1.49,107.85,16.06,42.56,2.7,2.09,Medium,Late,Urea,133.81,Broadcast,Controlled_Release,Sprinkler,64.07,55.29,41.32,27.64,16.59,11.06
Vegetable,Sandy,8.26,1.52,263.73,44.11,162.94,1.18,83.33,19.55,49.46,1.16,4.33,Low,Mid,NK,163.56,Foliar,Normal,Flood,23.1,59.44,36.34,29.72,17.83,11.89
Vegetable,Loamy,8.5,0.66,263.7,40.16,232.18,1.46,84.91,20.77,40.61,5.06,7.16,Medium,Late,PK,137.62,Foliar,Normal,Drip,52.55,61.54,44.72,30.77,18.46,12.31
Wheat,Sandy,6.25,1.27,279.95,58.03,305.91,1.41,27.91,31.63,68.54,1.43,4.3,Low,Mid,Organic,121.26,Drip,Normal,Flood,53.31,39.09,32.24,19.55,11.73,7.82
Vegetable,Loamy,8.31,1.24,255.76,29.21,266.42,1.21,113.51,15.13,55.27,5.34,4.35,Medium,Initial,PK,153.91,Foliar,Normal,Drip,35.21,64.22,41.73,32.11,19.27,12.84
Wheat,Clay,6.28,2.43,81.86,62.07,376.76,1.32,85.53,37.85,50.22,2.51,6.83,High,Mid,NK,173.3,Foliar,Biochar,Flood,13.7,57.21,33.01,28.6,17.16,11.44
Rice,Loamy,6.74,1.82,66.62,56.96,387.04,1.49,21.29,22.09,62.12,0.62,5.71,Medium,Late,PK,84.15,Drip,Normal,Sprinkler,45.93,29.34,34.87,14.67,8.8,5.87
Citrus,Loamy,8.13,2.06,64.6,45.68,299.01,1.16,77.88,17.58,48.91,2.48,5.54,High,Initial,Organic,138.89,Drip,Controlled_Release,Sprinkler,17.58,50.7,36.5,25.35,15.21,10.14
Citrus,Clay,7.86,0.76,295.05,36.3,282.3,1.41,97.15,38.83,72.37,2.79,6.25,High,Mid,Organic,97.47,Foliar,Biochar,Drip,42.02,57.64,59.14,28.82,17.29,11.53
Citrus,Loamy,8.07,1.33,175.29,31.14,54.75,1.31,55.6,37.59,44.25,0.83,3.59,High,Mid,PK,65.79,Broadcast,Controlled_Release,Flood,65.69,40.03,60.85,20.02,12.01,8.01
Vegetable,Clay,7.9,0.88,78.79,47.46,324.29,1.23,40.51,17.14,53.77,2.49,2.46,High,Initial,Organic,166.85,Drip,Biochar,Drip,68.73,53.29,31.94,26.64,15.99,10.66
Rice,Loamy,6.21,2.22,186.07,50.38,224.8,1.55,103.16,26.08,44.96,3.29,5.94,Medium,Late,Urea,175.49,Drip,Biochar,Sprinkler,79.74,55.6,31.68,27.8,16.68,11.12
Vegetable,Clay,7.18,0.8,227.57,41.37,356.12,1.34,102.57,30.78,89.38,5.73,3.12,Low,Mid,Organic,157.41,Drip,Controlled_Release,Flood,52.64,65.48,41.6,32.74,19.64,13.1
Vegetable,Sandy,6.66,1.38,73.62,32.44,376.59,1.59,94.23,34.63,57.29,1.8,5.94,Medium,Initial,Organic,149.66,Broadcast,Controlled_Release,Flood,40.88,58.96,39.4,29.48,17.69,11.79
Rice,Loamy,6.88,0.61,136.6,71.59,179.15,1.42,24.59,39.55,81.49,2.15,7.51,Medium,Mid,NK,167.9,Broadcast,Biochar,Flood,42.81,51.61,30.74,25.8,15.48,10.32
Rice,Loamy,5.96,1.77,96.96,31.71,366.91,1.27,67.2,33.97,47.1,0.69,6.25,Medium,Initial,Urea,150.93,Foliar,Normal,Drip,52.46,53.25,35.28,26.62,15.98,10.65
Rice,Loamy,6.45,1.46,293.86,57.05,280.85,1.25,52.81,28.58,82.6,1.06,7.33,High,Late,NPK,106.56,Drip,Normal,Flood,72.54,44.61,41.86,22.3,13.38,8.92
Rice,Clay,8.07,1.5,129.56,73.34,199.83,1.45,83.71,15.86,66.65,3.57,6.32,Low,Mid,Organic,141.52,Foliar,Biochar,Sprinkler,63.47,49.63,35.07,24.82,14.89,9.93
Citrus,Loamy,8.19,0.7,222.63,55.28,67.77,1.27,107.42,20.13,80.99,5.79,3.87,High,Initial,PK,164.14,Drip,Controlled_Release,Sprinkler,42.58,68.68,41.84,34.34,20.6,13.74
Corn,Clay,7.33,1.53,279.61,35.61,309.75,1.39,29.62,36.72,66.84,5.79,6.61,Low,Late,PK,192.84,Drip,Biochar,Flood,72.58,54.39,28.2,27.2,16.32,10.88
Corn,Loamy,6.99,1.63,265.8,30.8,362.62,1.38,37.2,24.85,49.45,2.46,5.17,Medium,Late,PK,113.23,Foliar,Controlled_Release,Sprinkler,55.03,37.25,32.9,18.62,11.18,7.45
Rice,Sandy,7.64,2.43,148.49,69.74,253.81,1.11,28.38,17.55,47.13,0.7,5.89,Medium,Late,NPK,95.32,Broadcast,Biochar,Sprinkler,28.26,26.8,28.12,13.4,8.04,5.36
Corn,Loamy,7.33,0.57,127.73,44.3,191,1.45,90.81,34.91,52.2,2.07,7.55,Medium,Late,NPK,193.42,Drip,Biochar,Flood,37.99,71.28,36.85,35.64,21.38,14.26
Corn,Sandy,8.45,2.35,252.31,51.54,208.01,1.38,59.64,18.04,65.55,3.83,2.9,High,Initial,NPK,180.65,Foliar,Controlled_Release,Drip,20.88,53.11,29.4,26.56,15.93,10.62
Rice,Clay,6.07,1.46,101.29,51.74,297.82,1.51,57.16,22.09,67.17,4.69,7.31,Low,Initial,Organic,110.45,Drip,Biochar,Sprinkler,53.54,38.78,35.11,19.39,11.63,7.76
Corn,Sandy,6.85,0.92,229.33,47.37,119.39,1.57,59.46,15.73,66.95,4.8,3.99,Low,Mid,Urea,74.81,Foliar,Biochar,Flood,41.61,34.8,46.52,17.4,10.44,6.96
Vegetable,Loamy,8.25,1.83,258.82,75.19,121.54,1.34,36.97,22.43,73.1,5.72,2.46,Medium,Initial,Organic,164.02,Broadcast,Biochar,Flood,38.53,45.32,27.63,22.66,13.6,9.06
Wheat,Loamy,8.24,1.53,262.31,75.17,171.46,1.49,27.46,35.45,46.55,3.08,4.29,Medium,Mid,Organic,132.43,Foliar,Normal,Flood,70.7,40.8,30.81,20.4,12.24,8.16
Wheat,Clay,6.99,0.95,52.23,12.83,60.44,1.33,96.42,26.1,87.17,1.74,2.9,High,Initial,NPK,87.9,Drip,Normal,Sprinkler,10.44,52.06,59.23,26.03,15.62,10.41
Rice,Loamy,5.9,1.75,174.97,45.4,284.13,1.25,75.56,20.22,87.5,4.85,7.16,Medium,Late,Organic,102.5,Foliar,Normal,Flood,26.08,43.57,42.51,21.78,13.07,8.71
Citrus,Loamy,7.94,1.45,139.4,49.59,206.88,1.55,86.48,26.99,74.15,0.5,7.21,Medium,Late,NK,129.2,Drip,Biochar,Sprinkler,69.32,49.08,37.99,24.54,14.72,9.82
Rice,Clay,7.26,1.88,294.71,74.79,362.8,1.41,35.9,15.08,85.13,3.33,6.35,Low,Mid,Organic,194.96,Broadcast,Normal,Sprinkler,35.84,49.2,25.24,24.6,14.76,9.84
Citrus,Clay,7.82,1.88,186.02,14.88,276.46,1.13,20.7,32.52,50.88,0.8,2.75,High,Mid,PK,118.3,Foliar,Controlled_Release,Drip,28.06,36.32,30.7,18.16,10.9,7.26
Wheat,Sandy,6.89,1.45,156.86,65.24,296.65,1.57,32.51,15.13,67.37,1.81,3.5,Medium,Late,NK,130.26,Broadcast,Biochar,Sprinkler,63.01,36.48,28.01,18.24,10.94,7.3
Rice,Clay,6.11,1.28,111.09,54.97,285.15,1.31,107.14,22.85,47.26,5.97,7.14,High,Mid,NK,105.05,Drip,Normal,Flood,35.76,56.5,53.78,28.25,16.95,11.3
Vegetable,Loamy,5.57,0.63,261.41,61.27,196.27,1.43,40.42,19.57,71.04,5.1,3.42,High,Late,PK,70.47,Broadcast,Biochar,Drip,60.01,37.13,52.69,18.57,11.14,7.43
Corn,Clay,7.18,1.49,129.84,30.42,376.45,1.58,7.68,38.63,94.08,5.93,7.13,Low,Initial,Organic,188.8,Foliar,Controlled_Release,Flood,71.04,39.08,20.7,19.54,11.72,7.82
Citrus,Loamy,5.98,0.99,256.69,62.26,370.03,1.37,58.78,18.11,50.61,2.52,7.79,High,Late,Organic,192.82,Foliar,Biochar,Flood,78.59,64.44,33.42,32.22,19.33,12.89
Corn,Sandy,6.06,0.61,272.9,29.79,218.88,1.4,39.49,30.29,50.55,1.05,2.07,High,Late,Urea,193.36,Broadcast,Controlled_Release,Sprinkler,77.33,60.09,31.08,30.04,18.03,12.02
Corn,Clay,6.81,1.16,64.54,57.3,322.77,1.19,57.53,24.32,84.7,5.65,3.55,Low,Mid,PK,104.69,Broadcast,Controlled_Release,Flood,40.7,39.94,38.15,19.97,11.98,7.99
Rice,Loamy,6.83,0.67,177.5,65.09,394.79,1.49,82.72,33.04,62.21,2.34,4.23,High,Late,Urea,132.66,Broadcast,Normal,Drip,51.5,61.42,46.3,30.71,18.43,12.28
Corn,Clay,6.32,1.66,155.09,64.83,165.93,1.36,114.6,23.4,54.65,1.69,2.87,Medium,Initial,NPK,163.68,Foliar,Biochar,Drip,25.77,62.18,37.99,31.09,18.65,12.44
Vegetable,Clay,5.9,1.51,148.28,48.11,268.7,1.34,93.48,17.63,51.3,2.95,6.68,Medium,Mid,Urea,168.14,Broadcast,Controlled_Release,Drip,18.27,63.31,37.65,31.66,18.99,12.66
Corn,Clay,8.33,2.08,142.87,38.95,249.34,1.19,59.36,16.01,71.43,1.73,2.2,Medium,Initial,PK,134.58,Drip,Biochar,Sprinkler,62.37,38.86,28.88,19.43,11.66,7.77
Rice,Clay,5.89,1.04,183,27.05,239.27,1.32,92.8,39.76,68.96,5.08,2.79,Medium,Mid,PK,144.94,Broadcast,Controlled_Release,Drip,59.81,61.03,42.11,30.52,18.31,12.21
Vegetable,Sandy,6.55,1.24,82.55,12.34,376.59,1.57,28.74,39.08,90.48,2.32,4.81,Medium,Initial,Organic,72.29,Drip,Controlled_Release,Flood,41.32,31.59,43.7,15.8,9.48,6.32
Wheat,Loamy,6.41,1.88,267.82,13.42,94.31,1.29,99.26,20.38,66.2,2.72,5.24,Medium,Late,Urea,71.97,Broadcast,Controlled_Release,Sprinkler,72.08,44.49,61.82,22.24,13.35,8.9
Corn,Clay,8.1,2.49,189.5,39.3,230.73,1.21,66.2,17.21,72.25,2.58,7.61,High,Late,Urea,147,Drip,Controlled_Release,Sprinkler,21.72,48.5,32.99,24.25,14.55,9.7
Rice,Loamy,6.73,2.31,136.78,16.65,59.05,1.4,97.47,30.19,66.54,4.21,5.45,Low,Initial,Urea,77.28,Broadcast,Normal,Sprinkler,60.95,39.06,50.54,19.53,11.72,7.81
Wheat,Sandy,5.87,1.54,110.76,17.84,157.84,1.35,68.78,32.27,87,2.13,5.42,High,Late,Urea,154.9,Foliar,Controlled_Release,Sprinkler,55.04,57.34,37.02,28.67,17.2,11.47
Wheat,Loamy,5.53,1.86,204.14,23.63,286.27,1.34,39.79,33.36,46.71,5.77,2.48,Medium,Mid,Urea,185.3,Drip,Controlled_Release,Flood,42.78,50.28,27.13,25.14,15.08,10.06
Citrus,Loamy,7.67,1.56,246.68,43.69,323.14,1.18,13.08,37.82,63.85,5.1,7.62,High,Late,NK,180.33,Drip,Controlled_Release,Drip,76.36,51.43,28.52,25.72,15.43,10.29
Vegetable,Sandy,7.64,1.37,160.21,51.42,348.99,1.55,55.84,21.35,87.75,5.8,7.33,High,Mid,Urea,136.48,Drip,Normal,Sprinkler,63.79,47.23,34.61,23.62,14.17,9.45
Corn,Clay,6.75,1.7,296.13,58.6,76.82,1.4,88.45,20.54,42.12,3.06,7.48,High,Mid,PK,92.12,Foliar,Controlled_Release,Sprinkler,69.44,44.82,48.65,22.41,13.45,8.96
Rice,Loamy,5.88,1.27,183.89,44.04,114.6,1.41,35.58,16.86,81.45,2.16,2.39,High,Mid,Organic,72.46,Drip,Biochar,Drip,57.9,32.24,44.49,16.12,9.67,6.45
Citrus,Loamy,6.61,1.06,294.73,56.53,190.53,1.16,35.54,18.75,54.33,1.38,3.47,Low,Mid,NPK,196.84,Broadcast,Biochar,Flood,64.36,52.4,26.62,26.2,15.72,10.48
